Replicate,Receptor,Peptide,ATP,Date,concentration,luminescence,norm_luminescence
3,HIRa.R021,HIRa3,,2021_07_21,1e-12,6316.763783,1.9203734390764908
3,HIRa.R021,HIRa3,,2021_07_21,1e-11,6742.51585,6.797134920308165
3,HIRa.R021,HIRa3,,2021_07_21,1e-10,8951.268526,32.09721167104346
3,HIRa.R021,HIRa3,,2021_07_21,1e-9,10040.40516,44.5726874142758
3,HIRa.R021,HIRa3,,2021_07_21,1e-8,11752.14719,64.17977389662826
3,HIRa.R021,HIRa3,,2021_07_21,1e-7,14424.295,94.78779326289852
3,HIRa.R021,HIRa3,,2021_07_21,1e-6,14879.33218,100
3,HIRa.R021,HIRa3,,2021_07_21,1e-5,13439.03441,83.50216186680338
3,HIRa.R021,HIRa3,,2021_07_21,1e-4,11027.94826,55.88446373769202
4,HIRa.R021,HIRa3,,2021_04_28,0,7307.101499,0
4,HIRa.R021,HIRa3,,2021_04_28,1e-11,6025.297698,-19.745405803202633
4,HIRa.R021,HIRa3,,2021_04_28,1e-10,5826.180597,-22.812683305839943
4,HIRa.R021,HIRa3,,2021_04_28,1e-9,9391.668404,32.11148182821712
4,HIRa.R021,HIRa3,,2021_04_28,1e-8,12419.0211,78.74600377713396
4,HIRa.R021,HIRa3,,2021_04_28,1e-7,13478.09875,95.06044906122327
4,HIRa.R021,HIRa3,,2021_04_28,1e-6,13798.7574,100
4,HIRa.R021,HIRa3,,2021_04_28,1e-5,12537.4422,80.57020859953924
4,HIRa.R021,HIRa3,,2021_04_28,1e-4,10810.6368,53.96982456294859
5,HIRa.R021,HIRa3,,2021_04_28,0,4003.047099,0
5,HIRa.R021,HIRa3,,2021_04_28,1e-11,5462.26042,20.506438797807444
5,HIRa.R021,HIRa3,,2021_04_28,1e-10,5243.373068,17.430397740064024
5,HIRa.R021,HIRa3,,2021_04_28,1e-9,6161.300033,30.330097090211094
5,HIRa.R021,HIRa3,,2021_04_28,1e-8,10477.5661,90.98692132844634
5,HIRa.R021,HIRa3,,2021_04_28,1e-7,8794.363399,67.33274227482688
5,HIRa.R021,HIRa3,,2021_04_28,1e-6,10431.70603,90.3424461820204
5,HIRa.R021,HIRa3,,2021_04_28,1e-5,11118.92585,100
5,HIRa.R021,HIRa3,,2021_04_28,1e-4,9309.295979,74.56913004952916
6,HIRa.R021,HIRa3,,2021_04_28,0,1542.003674,0
6,HIRa.R021,HIRa3,,2021_04_28,1e-11,1543.931087,0.10328667460461552
6,HIRa.R021,HIRa3,,2021_04_28,1e-10,1796.548429,13.64060597391327
6,HIRa.R021,HIRa3,,2021_04_28,1e-9,1863.149277,17.20962834523061
6,HIRa.R021,HIRa3,,2021_04_28,1e-8,2296.986433,40.458198923081035
6,HIRa.R021,HIRa3,,2021_04_28,1e-7,2863.73147,70.82906921419311
6,HIRa.R021,HIRa3,,2021_04_28,1e-6,3408.084664,100
6,HIRa.R021,HIRa3,,2021_04_28,1e-5,2523.229404,52.58216204217375
6,HIRa.R021,HIRa3,,2021_04_28,1e-4,2400.055396,45.98148347248316
7,HIRa.R021,HIRa3,,2021_04_28,0,1198.16733,0
7,HIRa.R021,HIRa3,,2021_04_28,1e-11,1577.639388,10.521042693239773
7,HIRa.R021,HIRa3,,2021_04_28,1e-10,1416.973818,6.066513602974834
7,HIRa.R021,HIRa3,,2021_04_28,1e-9,1619.25385,11.674823379137349
7,HIRa.R021,HIRa3,,2021_04_28,1e-8,2441.142313,34.4620706243725
7,HIRa.R021,HIRa3,,2021_04_28,1e-7,4804.958682,100
7,HIRa.R021,HIRa3,,2021_04_28,1e-6,2785.655596,44.01386470885605
