Replicate,Receptor,Peptide,0,1.00E-13,1.00E-12,1.00E-11,1.00E-10,1.00E-09,1.00E-08,1.00E-07,1.00E-06,1.00E-05,1.00E-04,ATP,Date
6,RPa.R248,FRPa3,9611.96103999999,10903.5809427999,10607.8898676,9652.968696,13053.3341635999,18696.04345,29844.5162956,43000.178778,45258.30782,65193.2218271999,97104.1138212,82472.1558443999,2023_03_17
7,RPa.R248,FRPa3,3780.53457159999,2616.73384059999,2536.22268399999,1977.5241968,1071.8580948,1000.10162279999,1800.85203919999,9892.4490664,3664.60897119999,13000.7815476,12365.230688,31725.5264828,2023_03_16
8,RPa.R248,FRPa3,3514.5403126,2403.8115524,4283.6925056,3941.092004,2822.51927679999,2446.14941719999,1783.2892116,30479.1497732,25628.7419312,23093.1365048,23349.2622327999,35046.862702,2023_03_16
9,RPa.R248,FRPa3,3356.3597018,2385.392897,5071.1818044,6331.344404,4573.0018616,3624.91126279999,3477.7316868,1298.99645039999,27328.7982592,44502.7513116,15865.2309715999,45458.3652636,2023_03_16
1,RPa.R248,RPa2,11025.9316892,12630.0070524,11021.0691359999,12030.6895431999,9842.577868,23538.3161239999,51340.6667176,83880.9049383999,75483.8785056,70075.5987528,61414.5185016,90646.8909335999,2023_03_17
2,RPa.R248,RPa2,11754.4496376,11517.0846147999,12966.0252259999,10808.1772712,14825.404352,21499.7067912,47586.4005167999,92171.7238175999,72792.5895423999,53957.634604,87868.6868344,84066.3554591999,2023_03_17
3,RPa.R248,RPa2,12431.7248916,10348.9183052,10445.721666,9176.3476736,14107.2266816,20657.3666039999,50108.7173432,77664.0890288,86866.597016,63345.9148199999,78623.5892696,92342.1620239999,2023_03_17
4,RPa.R248,RPa2,5679.77040439999,3367.23002479999,2741.75563639999,3754.05014839999,4682.4215012,8096.2182844,21639.6863767999,45223.9286915999,56438.6603059999,61986.9053276,53829.512464,71583.4122855999,2023_03_17
5,RPa.R248,RPa2,5519.3853004,3367.446612,3637.7119392,3681.9566472,4572.75135439999,7308.10640999999,25949.3673311999,42366.6626611999,25470.9412331999,55432.9858552,43496.1496728,75708.8021268,2023_03_17
6,RPa.R248,RPa2,5555.6220268,4083.9212896,3763.58136079999,2264.1758512,3802.37552759999,6282.3436096,23378.5105975999,37691.5032916,42854.0245436,41175.125388,31844.9517911999,64875.3705332,2023_03_17
7,RPa.R248,RPa2,3145.1933334,8117.7463738,7569.1914988,8897.51632159999,8877.6055776,4072.46240399999,20224.7231464,45781.0908299999,34376.9243396,25277.5927864,22957.8280544,52779.3130436,2023_03_16
8,RPa.R248,RPa2,5971.3893314,8988.3893626,10536.9010423999,9917.8682724,7234.71453,7838.09071319999,35534.4856379999,34525.1348208,36565.0247504,43074.4824588,31920.436716,74832.3187312,2023_03_16
9,RPa.R248,RPa2,3372.1493358,6018.5133536,7623.88135,9379.4432856,3482.5860732,3322.525612,11535.8925323999,31699.3409851999,50445.5467775999,35595.6641535999,39106.6147076,62268.1159475999,2023_03_16
1,QGRFa.R070,QITRFa,784.4217088,,567.1850524,427.1241568,789.566146,836.7339268,848.597087599999,549.696304399999,619.887576399999,2403.65507759999,5655.514242,6690.546672,2022_02_15
