Replicate,Receptor,Peptide,0,1.00E-13,1.00E-12,1.00E-11,1.00E-10,1.00E-09,1.00E-08,1.00E-07,1.00E-06,1.00E-05,1.00E-04,ATP,Date
5,GPR21.all,HIRa3,428.187312,,4003.047099,5462.26042,5243.373068,6161.300033,10477.5661,8794.363399,10431.70603,11118.92585,9309.295979,,2021.04.28
6,GPR21.all,HIRa3,409.9460904,,1542.003674,1543.931087,1796.548429,1863.149277,2296.986433,2863.73147,3408.084664,2523.229404,2400.055396,,2021.04.28
7,GPR21.all,HIRa3,443.4125288,,1198.16733,1577.639388,1416.973818,1619.25385,2441.142313,4804.958682,2785.655596,2804.341806,3076.439175,,2021.04.28
8,GPR21.all,HIRa3,1864.956625,45750.1307352,66577.4227596,63663.0252544,52292.5994246,62932.5678524,74439.7837444,80016.2515686,90177.698011,86076.9814524,71978.9985376001,60292.7420444,2022.05.27
9,GPR21.all,HIRa3,1917.0632926,47477.996805,50315.6631332,52796.9624816,47700.2880312,74055.026412,87868.8352458,93604.705151,98807.4038048,90444.2889088,89161.6837562,61674.4576128,2022.05.27
10,GPR21.all,HIRa3,1934.0051844,39770.2058252,52415.6791918,59775.8935536,60294.8537254,52497.285928,89197.128041,87421.194241,94161.2039748,106563.6257748,112888.3109342,68826.794978,2022.05.27
1,GPR21.all,HIRa1,731.7498236,3671.711978,4658.175493,6037.572878,7913.259896,7464.074183,10308.45535,15577.60804,18285.32678,16473.35464,18006.06652,,2021.07.21
2,GPR21.all,HIRa1,403.4082416,4737.065862,3869.649166,6923.840826,7021.180654,8358.994006,9977.205478,12756.86803,15070.09444,15382.99904,18802.65954,,2021.07.21
3,GPR21.all,HIRa1,508.1192436,4096.283026,3714.700196,4494.934953,6817.798304,7746.013128,8304.552539,10169.59417,14088.23358,12210.18991,15299.2344,,2021.07.21
4,GPR21.all,HIRa1,434.8559328,,3570.278403,4579.957415,7741.892739,7979.252584,9030.259716,14789.51046,18321.98875,22663.45294,19000.21549,,2021.04.28
5,GPR21.all,HIRa1,389.3695164,,4947.305688,6310.934115,8961.858371,8443.162873,13266.28171,17293.73223,21507.83196,19654.28912,15534.11063,,2021.04.28
6,GPR21.all,HIRa1,357.9031616,,1394.82076,1952.283487,2592.52835,3329.550925,6118.564084,4464.285256,4703.665182,6052.251634,6001.947217,,2021.04.28
7,GPR21.all,HIRa1,392.82414,,2655.39388,4468.067395,2856.897881,4476.221211,6259.13004,6226.531818,7364.106129,6237.241407,5911.845836,,2021.04.28
8,GPR21.all,HIRa1,1124.5960376,24067.3731112,36694.482549,28051.5109036,35293.0500393,36486.4960744,58192.5389342,81741.717667,95738.9180944,86539.8831203,83038.3221059,91843.3715597,2022.05.27
9,GPR21.all,HIRa1,1643.0124341,26355.3783195,36941.6913699,29896.646393,39012.2969936,36417.3337449,72608.6254767,95849.4984635,112425.7436449,101066.7714961,85184.20324,106476.106172,2022.05.27
10,GPR21.all,HIRa1,1195.7090011,23516.4407598,39236.9468504,32911.2243256,43231.644011,43654.5429064,67784.0474299,79851.7690415,81038.3979518,103327.4822035,96479.2036667,88078.5865095,2022.05.27
1,GPR21.all,HIRa2,453.5492024,6689.463138,6687.928875,7821.552081,8003.749514,10199.6166,15133.72895,18427.83939,18768.27872,19510.70257,14560.45982,,2021.07.21
2,GPR21.all,HIRa2,525.8105288,5868.553364,5795.02042,6764.358556,9920.456442,10918.6911,13424.22382,16928.05633,16668.04155,18255.19604,12991.87003,,2021.07.21
3,GPR21.all,HIRa2,420.3673272,6003.944567,5677.909655,7094.154308,7933.31908,9496.458556,11202.13063,13261.9542,13795.32071,13141.32639,12336.81056,,2021.07.21
4,GPR21.all,HIRa2,535.3340544,,4100.513338,5675.189735,5935.138685,7093.059124,8171.448364,10417.78386,11030.1946,11752.56723,11215.7756,,2021.04.28
5,GPR21.all,HIRa2,142.1794344,,4828.67164,4077.224267,5387.017418,4799.26272,9141.092889,10219.21385,10629.73405,10421.60716,8287.051504,,2021.04.28
6,GPR21.all,HIRa2,248.5829808,,1917.258804,1633.44281,2298.117586,1487.344407,2130.968604,2128.047058,2865.064549,2021.891391,1647.133614,,2021.04.28
