Replicate,Receptor,Peptide,ATP,Date,concentration,luminescence,norm_luminescence
6,GPR21.all.adjusted,HIRa1,,2021.04.28,1e-11,1952.283487,11.801291661375629
6,GPR21.all.adjusted,HIRa1,,2021.04.28,1e-10,2592.52835,25.355052293268933
6,GPR21.all.adjusted,HIRa1,,2021.04.28,1e-9,3329.550925,40.95756336230602
6,GPR21.all.adjusted,HIRa1,,2021.04.28,1e-8,6118.564084,100
6,GPR21.all.adjusted,HIRa1,,2021.04.28,1e-7,4464.285256,64.97949370798625
6,GPR21.all.adjusted,HIRa1,,2021.04.28,1e-6,4703.665182,70.04708332031295
6,GPR21.all.adjusted,HIRa1,,2021.04.28,1e-5,6052.251634,98.59618854261016
6,GPR21.all.adjusted,HIRa1,,2021.04.28,1e-4,6001.947217,97.53126156521881
7,GPR21.all.adjusted,HIRa1,,2021.04.28,0,2655.39388,0
7,GPR21.all.adjusted,HIRa1,,2021.04.28,1e-11,4468.067395,38.49616241436205
7,GPR21.all.adjusted,HIRa1,,2021.04.28,1e-10,2856.897881,4.279386599654579
7,GPR21.all.adjusted,HIRa1,,2021.04.28,1e-9,4476.221211,38.66932687141146
7,GPR21.all.adjusted,HIRa1,,2021.04.28,1e-8,6259.13004,76.53336983514619
7,GPR21.all.adjusted,HIRa1,,2021.04.28,1e-7,6226.531818,75.84107393180399
7,GPR21.all.adjusted,HIRa1,,2021.04.28,1e-6,7364.106129,100
7,GPR21.all.adjusted,HIRa1,,2021.04.28,1e-5,6237.241407,76.06851592514886
7,GPR21.all.adjusted,HIRa1,,2021.04.28,1e-4,5911.845836,69.1580156908416
8,GPR21.all.adjusted,HIRa1,91843.3715597,2022.05.27,0,24067.3731112,0
8,GPR21.all.adjusted,HIRa1,91843.3715597,2022.05.27,1e-12,36694.482549,17.61802322073541
8,GPR21.all.adjusted,HIRa1,91843.3715597,2022.05.27,1e-11,28051.5109036,5.558883645293112
8,GPR21.all.adjusted,HIRa1,91843.3715597,2022.05.27,1e-10,35293.0500393,15.66266909794023
8,GPR21.all.adjusted,HIRa1,91843.3715597,2022.05.27,1e-9,36486.4960744,17.32782928861248
8,GPR21.all.adjusted,HIRa1,91843.3715597,2022.05.27,1e-8,58192.5389342,47.613269437681346
8,GPR21.all.adjusted,HIRa1,91843.3715597,2022.05.27,1e-7,81741.717667,80.47035203345906
8,GPR21.all.adjusted,HIRa1,91843.3715597,2022.05.27,1e-6,95738.9180944,100
8,GPR21.all.adjusted,HIRa1,91843.3715597,2022.05.27,1e-5,86539.8831203,87.1650109171551
8,GPR21.all.adjusted,HIRa1,91843.3715597,2022.05.27,1e-4,83038.3221059,82.279444385527
9,GPR21.all.adjusted,HIRa1,106476.106172,2022.05.27,0,26355.3783195,0
9,GPR21.all.adjusted,HIRa1,106476.106172,2022.05.27,1e-12,36941.6913699,12.299602784741406
9,GPR21.all.adjusted,HIRa1,106476.106172,2022.05.27,1e-11,29896.646393,4.114387176250251
9,GPR21.all.adjusted,HIRa1,106476.106172,2022.05.27,1e-10,39012.2969936,14.705315384974732
9,GPR21.all.adjusted,HIRa1,106476.106172,2022.05.27,1e-9,36417.3337449,11.690383080587026
9,GPR21.all.adjusted,HIRa1,106476.106172,2022.05.27,1e-8,72608.6254767,53.73887630467665
9,GPR21.all.adjusted,HIRa1,106476.106172,2022.05.27,1e-7,95849.4984635,80.74105399839841
9,GPR21.all.adjusted,HIRa1,106476.106172,2022.05.27,1e-6,112425.7436449,100
9,GPR21.all.adjusted,HIRa1,106476.106172,2022.05.27,1e-5,101066.7714961,86.80269090777534
9,GPR21.all.adjusted,HIRa1,106476.106172,2022.05.27,1e-4,85184.20324,68.3496865594681
10,GPR21.all.adjusted,HIRa1,88078.5865095,2022.05.27,0,23516.4407598,0
10,GPR21.all.adjusted,HIRa1,88078.5865095,2022.05.27,1e-12,39236.9468504,19.697156942488345
10,GPR21.all.adjusted,HIRa1,88078.5865095,2022.05.27,1e-11,32911.2243256,11.771283015304634
10,GPR21.all.adjusted,HIRa1,88078.5865095,2022.05.27,1e-10,43231.644011,24.702350570262162
10,GPR21.all.adjusted,HIRa1,88078.5865095,2022.05.27,1e-9,43654.5429064,25.2322257451129
10,GPR21.all.adjusted,HIRa1,88078.5865095,2022.05.27,1e-8,67784.0474299,55.46551688756887
10,GPR21.all.adjusted,HIRa1,88078.5865095,2022.05.27,1e-7,79851.7690415,70.58588293380416
10,GPR21.all.adjusted,HIRa1,88078.5865095,2022.05.27,1e-6,81038.3979518,72.07268086155338
10,GPR21.all.adjusted,HIRa1,88078.5865095,2022.05.27,1e-5,103327.4822035,100
10,GPR21.all.adjusted,HIRa1,88078.5865095,2022.05.27,1e-4,96479.2036667,91.41938457020277
1,GPR21.all.adjusted,HIRa2,,2021.07.21,0,6689.463138,0
1,GPR21.all.adjusted,HIRa2,,2021.07.21,1e-12,6687.928875,-0.011966573186139563
1,GPR21.all.adjusted,HIRa2,,2021.07.21,1e-11,7821.552081,8.829793320718009
1,GPR21.all.adjusted,HIRa2,,2021.07.21,1e-10,8003.749514,10.250852758585314
1,GPR21.all.adjusted,HIRa2,,2021.07.21,1e-9,10199.6166,27.37764535649457
1,GPR21.all.adjusted,HIRa2,,2021.07.21,1e-8,15133.72895,65.86154058494772
1,GPR21.all.adjusted,HIRa2,,2021.07.21,1e-7,18427.83939,91.55414587066109
1,GPR21.all.adjusted,HIRa2,,2021.07.21,1e-6,18768.27872,94.20942215502959
1,GPR21.all.adjusted,HIRa2,,2021.07.21,1e-5,19510.70257,99.99999999999999
1,GPR21.all.adjusted,HIRa2,,2021.07.21,1e-4,14560.45982,61.39029478191558
2,GPR21.all.adjusted,HIRa2,,2021.07.21,0,5868.553364,0
2,GPR21.all.adjusted,HIRa2,,2021.07.21,1e-12,5795.02042,-0.5936470916568523
2,GPR21.all.adjusted,HIRa2,,2021.07.21,1e-11,6764.358556,7.232025783190517
2,GPR21.all.adjusted,HIRa2,,2021.07.21,1e-10,9920.456442,32.71187507371025
2,GPR21.all.adjusted,HIRa2,,2021.07.21,1e-9,10918.6911,40.770835714709044
2,GPR21.all.adjusted,HIRa2,,2021.07.21,1e-8,13424.22382,60.99853409543852
2,GPR21.all.adjusted,HIRa2,,2021.07.21,1e-7,16928.05633,89.28571894165134
2,GPR21.all.adjusted,HIRa2,,2021.07.21,1e-6,16668.04155,87.18656433776668
2,GPR21.all.adjusted,HIRa2,,2021.07.21,1e-5,18255.19604,100
2,GPR21.all.adjusted,HIRa2,,2021.07.21,1e-4,12991.87003,57.50805002070442
3,GPR21.all.adjusted,HIRa2,,2021.07.21,0,6003.944567,0
3,GPR21.all.adjusted,HIRa2,,2021.07.21,1e-12,5677.909655,-4.184561315178172
3,GPR21.all.adjusted,HIRa2,,2021.07.21,1e-11,7094.154308,13.992518407412236
3,GPR21.all.adjusted,HIRa2,,2021.07.21,1e-10,7933.31908,24.76294915800474
3,GPR21.all.adjusted,HIRa2,,2021.07.21,1e-9,9496.458556,44.82538032947847
3,GPR21.all.adjusted,HIRa2,,2021.07.21,1e-8,11202.13063,66.71717508684524
3,GPR21.all.adjusted,HIRa2,,2021.07.21,1e-7,13261.9542,93.15439916889147
3,GPR21.all.adjusted,HIRa2,,2021.07.21,1e-6,13795.32071,100
3,GPR21.all.adjusted,HIRa2,,2021.07.21,1e-5,13141.32639,91.60617703475185
3,GPR21.all.adjusted,HIRa2,,2021.07.21,1e-4,12336.81056,81.28045516952267
4,GPR21.all.adjusted,HIRa2,,2021.04.28,0,4100.513338,0
4,GPR21.all.adjusted,HIRa2,,2021.04.28,1e-11,5675.189735,20.578480225371628
4,GPR21.all.adjusted,HIRa2,,2021.04.28,1e-10,5935.138685,23.975593649674206
4,GPR21.all.adjusted,HIRa2,,2021.04.28,1e-9,7093.059124,39.107745818787556
4,GPR21.all.adjusted,HIRa2,,2021.04.28,1e-8,8171.448364,53.20055351748168
4,GPR21.all.adjusted,HIRa2,,2021.04.28,1e-7,10417.78386,82.55653463973277
4,GPR21.all.adjusted,HIRa2,,2021.04.28,1e-6,11030.1946,90.55975506451647
4,GPR21.all.adjusted,HIRa2,,2021.04.28,1e-5,11752.56723,100
4,GPR21.all.adjusted,HIRa2,,2021.04.28,1e-4,11215.7756,92.98499935342589
5,GPR21.all.adjusted,HIRa2,,2021.04.28,0,4828.67164,0
5,GPR21.all.adjusted,HIRa2,,2021.04.28,1e-11,4077.224267,-12.953616422133951
5,GPR21.all.adjusted,HIRa2,,2021.04.28,1e-10,5387.017418,9.624888314207963
5,GPR21.all.adjusted,HIRa2,,2021.04.28,1e-9,4799.26272,-0.5069574833276075
5,GPR21.all.adjusted,HIRa2,,2021.04.28,1e-8,9141.092889,74.33847361418061
5,GPR21.all.adjusted,HIRa2,,2021.04.28,1e-7,10219.21385,92.92336177434782
5,GPR21.all.adjusted,HIRa2,,2021.04.28,1e-6,10629.73405,100
5,GPR21.all.adjusted,HIRa2,,2021.04.28,1e-5,10421.60716,96.41226252554661
5,GPR21.all.adjusted,HIRa2,,2021.04.28,1e-4,8287.051504,59.616318866667726
6,GPR21.all.adjusted,HIRa2,,2021.04.28,0,1917.258804,0
6,GPR21.all.adjusted,HIRa2,,2021.04.28,1e-11,1633.44281,-29.94453193570799
6,GPR21.all.adjusted,HIRa2,,2021.04.28,1e-10,2298.117586,40.18321095954105
6,GPR21.all.adjusted,HIRa2,,2021.04.28,1e-9,1487.344407,-45.35891444717925
6,GPR21.all.adjusted,HIRa2,,2021.04.28,1e-8,2130.968604,22.54784813527376
6,GPR21.all.adjusted,HIRa2,,2021.04.28,1e-7,2128.047058,22.23960501526608
